event_id,date,event_type,sub_event_type,actor1,actor2,location,latitude,longitude,notes,fatalities,is_tanker,is_chokepoint
YEM86177,2024-03-14,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Abs,16.003,43.197,"Interception: On 14 March 2024, US forces conducted 3 raids/strikes to intercept Houthi anti-ship missiles and/or drones in Abs district (Hajjah). CENTCOM claimed that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 9 Houthi mobile anti-ship missiles and 2 drones that day without providing locations while Houthi sources reported raids on 5 separate locations in Al Hudaydah and Hajjah governorates.",0,False,False
YEM84632,2024-01-12,Explosions/Remote violence,Air/drone strike,Military Forces of the United Kingdom (2010-2024),Military Forces of Yemen (2017-) Houthi,Abs Airport,16.012,43.175,"On 12 January 2024, at around 2:30 am Sanaa time, UK Royal Air Force forces conducted strikes with Typhoon fighter jets on Houthi sites in the military base in Abs Airport (Abs, Hajjah) that were used to launch cruise missiles and drones over the Red Sea. 1 fatality coded to this event. This was part of a joint US-UK operation that day that struck over 60 Houthi targets in at least 18 locations (16 claimed by the US + 2 claimed by the UK) that included command and control nodes, munitions depots, launching systems, production facilities, and air defense radar systems. Houthi forces reported a total of 73 raids that resulted in 8 fatalities and at least 3 injuries. 8 fatalities split between 18 events.",1,False,False
YEM84379,2024-01-02,Strategic developments,Change to group/activity,Military Forces of Yemen (2017-) Houthi,nan,Ad Durayhimi,14.637,43.055,"Movement of forces: On 1 January 2024, Houthi forces redeployed its missiles from Abs district in Hajjah to new positions in Bayt Al Faqiah district (coded to Bayt al Faqih) including Al Jah, in At Tuhayat district (coded to At Tuhayta), and in Ad Durayhimi district (Al Hudaydah). This came amid information on the possibility of US and UK strikes on Houthi forces following Houthi operations in the Red Sea.",0,False,False
YEM85569,2024-02-05,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Ad Durayhimi,14.637,43.055,"Interception: On 3 February 2024, at around 7:20 pm Sanaa time, US forces conducted strikes to intercept 6 Houthi anti-ship cruise missiles in the districts of Alluheyah (coded to Al Luhayyah) and Ad Durayhimi (Al Hudaydah). The missiles were struck as they were prepared to launch against ships in the Red Sea. CENTCOM claimed that they presented an imminent threat to shipping.",0,False,False
YEM85181,2024-02-05,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Ad Durayhimi,14.637,43.055,"On 3 February 2024, at around 11:30 pm Sanaa time, US Navy forces conducted raids/strikes on Houthi targets in Ad Durayhimi district and Alluheyah district (coded to Al Luhayyah) including in Jabal al Jada (Al Hudaydah). Casualties unknown. This was part of a joint US-UK operation that day that struck 36 Houthi targets at 13 locations that included underground storage facilities, command and control centers, missile systems, drone storage and operations sites, radars, and helicopters. Houthi forces reported a total of 18 raids. US Navy used fighter jets from aircraft carrier USS Dwight D. Eisenhower and Tomahawk missiles from destroyers USS Gravely and USS Carney.",0,False,False
YEM85364,2024-02-16,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Ad Durayhimi,14.637,43.055,"On 16 February 2024, US forces conducted 1 strike to intercept Houthi mobile missiles and/or mobile USVs in Al Kuwayzi in Ad Durayhimi district (Al Hudaydah). CENTCOM claimed that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 1 Houthi mobile anti-ship cruise missile and 1 mobile USV between 1:40 pm and 6:45 pm Sanaa time that day without providing locations while Houthi sources reported raids on 6 separate locations, injuring 6 people.",0,False,False
YEM85684,2024-02-23,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Ad Durayhimi,14.637,43.055,"Interception: On 23 February 2024, US forces conducted 2 raids/strikes to intercept Houthi mobile anti-ship cruise missiles in Al Kuwayzi in Ad Durayhimi district (Al Hudaydah). The missiles were struck as they were prepared to launch against ships in the Red Sea with CENTCOM claiming that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 7 Houthi mobile anti-ship cruise missiles between 12:30 pm and 7:15 pm Sanaa time that day without providing locations while Houthi sources reported raids on 2 separate locations.",0,False,False
YEM85843,2024-02-29,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Ad Durayhimi,14.637,43.055,"Interception: On 29 February 2024, US forces conducted 2 raids/strikes to intercept Houthi mobile anti-ship cruise missiles in Al Kuwayzi in Ad Durayhimi district (coded to district center Ad Durayhimi) (Al Hudaydah). The missiles were struck as they were prepared to launch against ships in the Red Sea with CENTCOM claiming that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 6 Houthi mobile anti-ship cruise missiles between 6:00 pm and 7:15 pm Sanaa time that day without providing locations while Houthi sources reported raids on 3 separate locations.",0,False,False
YEM88082,2024-06-10,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2017-) Houthi,nan,Ahwar,13.52,46.714,"On 8 June 2024, in the late evening, Houthi forces fired 1 ballistic missile from Al Bayda province that fell short and crashed in Ahwar district (Abyan) near the coast of the district. There were no fatalities or injuries. The drone was likely launched toward the Gulf of Aden. Houthi forces carried out a missile attack against a commercial ship in the Gulf of Aden at around 11:00 pm Sanaa time.",0,False,False
YEM87404,2024-04-24,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Bayda,13.985,45.573,"Interception: On 24 April 2024, between 12:05 pm and 1:25 pm Sanaa time, US forces (whether warships or aircrafts unspecified) intercepted 4 airborne Houthi drones over Houthi-controlled areas of Yemen as Houthi forces claimed two separate drone attacks at sea (one event coded to Taizz governorate and one event coded to Al Bayda governorate). The interception coded to Al Bayda was coded for the attack claim targeting the MSC Veracruz container ship (IMO: 9287924) in the Indian Ocean (coded to Al Bayda) with Houthi forces claiming Israeli affiliation of the ship. Houthi forces have been labeling MSC ships as 'Israeli' possibly because of the dual Swiss-Israeli citizenship of one of MSC's co-founder and co-owner. The MSC Veracruz was located around 180 nm south of Socotra at the time of the claim, sailing from Houston, US, to Abu Dhabi, UAE.",0,False,False
YEM84542,2024-01-09,Strategic developments,Other,Military Forces of Yemen (2017-) Houthi,nan,Al Fazzah,14.103,43.102,"Other: On 9 January 2024, Houthi forces deployed bomb-laden drone boats in canals in Al Fazzah and Al Mujaylis (At Tuhayat, Al Hudaydah).",0,False,False
YEM84616,2024-01-12,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Fazzah,14.103,43.102,"On 12 January 2024, at around 2:30 am Sanaa time, US forces conducted strikes on Houthi sites in Al Fazzah port in At Tuhayat district (Al Hudaydah). 0 fatalities coded to this event. This was part of a joint US-UK operation that day that struck over 60 Houthi targets in at least 18 locations (16 claimed by the US + 2 claimed by the UK) that included command and control nodes, munitions depots, launching systems, production facilities, and air defense radar systems. US Navy used fighter jets from aircraft carrier USS Dwight D. Eisenhower and Tomahawk missiles from surface warships and a submarine, and US Air Force used additional fighter jets. Houthi forces reported a total of 73 raids that resulted in 8 fatalities and at least 3 injuries. 8 fatalities split between 18 events.",0,False,False
YEM85495,2024-02-13,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Fazzah,14.103,43.102,"On 13 February 2024, at approximately 2:35 pm Sanaa time, US forces conducted 1 strike to intercept 1 mobile anti-ship cruise missile in Al Fazzah area (At Tuhayat, Al Hudaydah), injuring 5 persons (unclear if Houthi fighters or civilians). The missile was struck as it was prepared to launch against ships in the Red Sea.",0,False,False
YEM86174,2024-03-14,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Fazzah,14.103,43.102,"Interception: On 14 March 2024, US forces conducted 2 raids/strikes to intercept Houthi anti-ship missiles and/or drones in Al Fazzah (At Tuhayat, Al Hudaydah). CENTCOM claimed that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 9 Houthi mobile anti-ship missiles and 2 drones that day without providing locations while Houthi sources reported raids on 5 separate locations in Al Hudaydah and Hajjah governorates.",0,False,False
YEM86440,2024-03-18,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Fazzah,14.103,43.102,"On 18 March 2024, US forces conducted 4 raids/strikes to destroy Houthi anti-ship missiles and/or drones, and/or to destroy weapons storage containers in Al Fazzah (At Tuhayat, Al Hudaydah). Casualties unknown. CENTCOM claimed that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 7 anti-ship missiles, 3 drones, and 3 weapons storage containers between 1:00 pm and 7:40 pm Sanaa time that day without providing locations while Houthi sources reported raids on 2 separate locations in Al Hudaydah governorate.",0,False,False
YEM98147,2025-04-02,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),Military Forces of Yemen (2017-) Houthi,Al Fazzah,14.103,43.102,"On 2 April 2025, US forces conducted a strike on a gathering of an alleged Houthi militants, including leaders in the group, in the Al Fazzah area (At Tuhayat, Al Hudaydah), killing and injuring an unspecified number of militants. A recording of the strike was published by US president Donald Trump. The Houthis confirmed the attack, claiming that it attacked a 'Eid social gathering' and not 'military leadership' and that it killed and injured dozens. However, they did not claim the targeted were civilians. IRG sources reported the death of 70 in the airstrike, including Houthi leaders and IRGC Iranian advisors. Unspecified fatalities coded as 10 following the most conservative estimate.",10,False,False
YEM98914,2025-04-23,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),Military Forces of Yemen (2017-) Houthi,Al Fazzah,14.103,43.102,"On 23 April 2025, US forces conducted 6 airstrikes targeting Houthi positions at frontlines in Ghuwarraq, Al Fazzah, and Al Jabaliyah areas (At Tuhayat), 5 airstrikes targeting Houthi weapon storage depots and camps at Al Hudaydah - Al Hudaydah International Airport (Al Hawak), a number of airstrikes targeting Kamaran island (Kamaran), 2 airstrikes targeting As Salif Port (As Salif), an unspecified number of strikes targeting the naval base and coastal defense camp in the vicinity of Al Hudaydah - Naval College (Al Mina) (Al Hudaydah) (Al Mina), and a number of strikes targeting Al Hudaydah city and its environs (Al Hudaydah). Casualties unknown.",0,False,False
YEM85288,2024-02-07,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Ghawal al Qutaynat,17.244,43.482,"Interception: On 7 February 2024, at around 11:30 pm Sanaa time, US forces conducted 1 strike to intercept 1 Houthi mobile land attack cruise missile in Al Ghawal al Qutaynat (Baqim, Sadah). The missile was struck as it was prepared to launch. CENTCOM claimed that it presented an imminent threat to shipping.",0,False,False
YEM85351,2024-02-09,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Ghawal al Qutaynat,17.244,43.482,"Interception: On 9 February 2024, US forces conducted 2 strikes to intercept Houthi cruise missiles in Al Ghawal al Qutaynat (Baqim, Sadah). The missiles were struck as they were prepared to launch against ships in the Red Sea with CENTCOM claiming that they presented an imminent threat to shipping. CENTCOM claimed the destruction of 2 USVs, 4 anti-ship cruise missiles, and 1 land attack cruise missile between 3:00 am and 9:40 pm Sanaa time that day without providing locations while Houthi sources reported raids on 3 separate locations.",0,False,False
YEM84763,2024-01-17,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hawban,13.6,44.065,"Interception: On 17 January 2024, at around 11:59 pm Sanaa time, US Navy forces launched missile strikes from surface ships and submarine to intercept 14 Houthi missiles in six locations: the technical institute in As Sawmaah district (Al Bayda), Haruniyah Junction east of As Salif (coded to Jabal Qumah) (Al Munirah, Al Hudaydah), the military police camp in Dhamar al Qarn (Anss, Dhamar), Jabal Sama and Takhyah (Majz, Sadah), and Al Hawban (At Taiziyah, Taizz). The missiles were struck as they were loaded on launch rails and ready to be fired in the Red Sea or the Gulf of Aden.",0,False,False
YEM102422,2024-09-19,Explosions/Remote violence,Air/drone strike,Unidentified Armed Group (Yemen),Military Forces of Yemen (2017-) Houthi,Al Haymah,13.92,43.203,"On 19 September 2024, an unidentified armed group conducted a drone strike on Houthi Coastal Defense Forces near Al Haymah (At Tuhayat, Al Hudaydah) killing 1 Houthi fighter and injuring 2 others. The source claimed that the strike targeted a boat of the Houthi forces while it was accompanying supply boats to nearby Zuqar Island.",1,False,False
YEM84047,2023-12-11,Strategic developments,Change to group/activity,Military Forces of Yemen (2017-) Houthi,nan,Al Hudaydah,14.798,42.955,"Movement of forces: Around 9 December 2023, Houthi forces deployed Rubik naval missiles along the coastal strip and some islands with naval operations rooms (coded to Al Hudaydah governorate). This took place amid Houthi attack targeting ships in the Red Sea and expected US retaliation against Houthi forces. The deployment was reported on 9 December as having taken place 'during the past two days'.",0,False,False
YEM84768,2024-01-18,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hudaydah,14.798,42.955,"Interception: On 18 January 2024, at around 3:40 pm Sanaa time, US Navy forces conducted strikes with F/A-18 fighter jets to intercept 2 Houthi anti-ship missiles in Al Hudaydah governorate (coded to capital Al Hudaydah). The missiles were struck as were aimed into the south Red Sea and were prepared to launch.",0,False,False
YEM84833,2024-01-22,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hudaydah,14.798,42.955,"Interception: On 20 January 2024, at around 4:00 am Sanaa time, US forces conducted 2 airstrikes to intercept 1 Houthi anti-ship missile in Al Hudaydah city (Al Hudaydah). The missile was struck as it was aimed into the Gulf of Aden and was prepared to launch.",0,False,False
YEM84895,2024-01-24,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hudaydah,14.798,42.955,"Interception: On 24 January 2024, at around 2:30 am Sanaa time, US forces conducted strikes to intercept 2 Houthi anti-ship missiles in an unspecified Houthi-controlled area inside Yemen (coded to Al Hudaydah governorate based on previous activity). The missiles were struck as they were aimed into the South Red Sea and were prepared to launch. Houthi forces did not publish a corresponding strike report.",0,False,False
YEM86045,2024-03-08,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hudaydah,14.798,42.955,"Interception: On 8 March 2024, at around 9:50 am Sanaa time, US forces conducted 1 strike to intercept 2 Houthi truck-mounted anti-ship missiles in an unspecified Houthi-controlled area inside Yemen (coded to Al Hudaydah governorate based on previous activity). The missiles were struck as CENTCOM claimed that they presented an imminent threat to shipping. Houthi forces did not publish a corresponding strike report.",0,False,False
YEM86715,2024-04-02,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hudaydah,14.798,42.955,"Interception: On 30 March 2024, at around 8:30 am Sanaa time, US forces conducted strikes to intercept 1 Houthi drone on the ground as it was preparing to launch in an unspecified Houthi-controlled area inside Yemen (coded to Al Hudaydah governorate based on previous activity). CENTCOM claimed that the drone was struck as it was prepared to launch and presented an imminent threat to shipping. Houthi forces did not publish a corresponding strike report.",0,False,False
YEM86735,2024-04-03,Strategic developments,Disrupted weapons use,Military Forces of the United States (2021-2025),Military Forces of Yemen (2017-) Houthi,Al Hudaydah,14.798,42.955,"Interception: On 3 April 2024, between 3:50 am and 10:00 am Sanaa time, US forces conducted strikes to intercept 1 Houthi mobile surface-to-air missile in an unspecified Houthi-controlled area inside Yemen (coded to Al Hudaydah governorate based on previous activity). CENTCOM claimed that it presented an imminent threat to commercial and US Navy ships. Houthi forces did not publish a corresponding strike report.",0,False,False
